blockNum,timestamp,TxHash,origin,SENDER,from_token,to_token,quantity_in,quantity_out
13916449,2022-01-01T00:59:50Z,0xa2ea2112b8cedbd40d71dc37f35e3e8409323295218584ef78aa86e3b007cd23,0x1a026895485684985438C67316FE6A7671e66D47,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,USDC,WETH,60000.0,16.101651790848596
13916449,2022-01-01T00:59:50Z,0x0b417b9f8c92aa9577b235d74a4700452722126da660cda7c96c5fbd51cab5ca,0x3079B0915D366266B3D1D56b852199bc06e87886,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,USDC,WETH,1000.0,0.2683206726148888
13916451,2022-01-01T01:00:13Z,0x6e9b5ac0d4aa5c52ac5f282ce92a5f6bf67be037d61e9139001b8e2b8145c50b,0x5A4D6fB1c80D4d3889aB9193bAe223eaCbdFA1c0,0xE592427A0AEce92De3Edee1F18E0157C05861564,WETH,USDC,0.1486673690217443,553.512705
13916456,2022-01-01T01:00:55Z,0x864a703de73e4bbac7220b5c938395bb527fc30bd31e77b1c17792ee6db3066c,0x4f80b2cD1f550f81581c15F690bDD623F3824c86,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,WETH,USDC,308.7626650848938,1146297.339909
13916456,2022-01-01T01:00:55Z,0x0a429ee1270afef44fc28aa39813943600c59948502d7263cdee4c9fc9790574,0x1Eaa5811bD0ecE59A998cA7CF8a95c81B865De78,0x220bdA5c8994804Ac96ebe4DF184d25e5c2196D4,WETH,USDC,166.00762371385906,613554.833871
13916456,2022-01-01T01:00:55Z,0xb24d9aeb8d5ee64cbd2f10e4d349e050e017a91400bd8b80c102701b9999a3f4,0x4f80b2cD1f550f81581c15F690bDD623F3824c86,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,USDC,WETH,1146073.738208,309.3570864498525
13916456,2022-01-01T01:00:55Z,0x1dd541210589853c9e5f44e95bd9458a67098e89288b28349829fbc536220d63,0x97A5370695c5A64004359f43889F398fb4D07fb1,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,1.755,6514.148913
13916456,2022-01-01T01:00:55Z,0xdf9b4908d91c89d4803760aac1cecd9f93b51e8471890158f6ff97c4964cd24c,0xF44Ac22D63F6c18Db1133D17DbC4f206Fe860C93,0x1111111254fb6c44bAC0beD2854e76F90643097d,USDC,WETH,4498.943079,1.210870645156344
13916457,2022-01-01T01:01:10Z,0xde50d74593b7e2bf4c0ddfe2e87e2df73e3190be49978383c111f5e17217978d,0x00A2aEbC7E233cd2fFE5AB5856F90f0ad2Fa3CcD,0xE592427A0AEce92De3Edee1F18E0157C05861564,USDC,WETH,183480.234401,49.359512980412546
13916457,2022-01-01T01:01:10Z,0xbc6435af01bc917a8e3f8221f10662a6db3aa7123a02d046f9b448e56b9ff4c6,0x30568C1282f91b43d0B3e6A5737eed71A823608f,0xE592427A0AEce92De3Edee1F18E0157C05861564,WETH,USDC,4.529921375665868,16828.93273
13916457,2022-01-01T01:01:10Z,0xa138c20ed13328eaae88e2f3bde1f27b5373bd230dcbefcd4d8db1e171840f0e,0xB9c6eca23d0Cdb811A5e68A9af00C2087795fFCD,0xE592427A0AEce92De3Edee1F18E0157C05861564,WETH,USDC,0.955922887925486,3551.129648
13916457,2022-01-01T01:01:10Z,0x7b1d82aba0bdab093160a38130623dad3d6baab89927d3d58da7b80cb98c2be3,0x1a026895485684985438C67316FE6A7671e66D47,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,1.6,5943.650831
13916460,2022-01-01T01:01:43Z,0x8dfb4aea559e6941cb9a8380b7bb238580b57ba09b71efa489a8f1cee670713d,0x52FeAF87dCf6DA6E5D8E15B0a267D7c24B056D79,0xE592427A0AEce92De3Edee1F18E0157C05861564,USDC,WETH,12168.0,3.272236659922742
13916462,2022-01-01T01:01:49Z,0xb685db36565d0e7229f783f3bec18f0282a8d31bed9ea8dc0bca5a4d3832296c,0x64171AC3542088070BCC469fc5aEd3635164F19D,0x1111111254fb6c44bAC0beD2854e76F90643097d,USDC,WETH,19000.0,5.109108280028102
13916465,2022-01-01T01:02:38Z,0x933e34fb49e2431ea2aec95af804f6069e00afdfdccf0688a72d69a09546a85e,0x4C0f8B1C205172c30945684f3D9fdcf234C2e97F,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,1982.5,0.5330670200104926
13916465,2022-01-01T01:02:38Z,0xb79f9536daf7754c9b4abc7aed7955d397015c10d92aa403a9168fc6ba2bdb28,0x2d1EF4aCf4cae6a38950971AaAA15f88D9b3f165,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,3.0,11145.722655
13916469,2022-01-01T01:03:13Z,0xa1fbec6aece17bd6b49cbc0f9ad8087b7085435773013d900f0cf65c2c92765a,0xc063974a5C3F2e2532e90E11e6CED845AEfa0F27,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,83999.284175,22.582647954444745
13916469,2022-01-01T01:03:13Z,0x481e8c56046125fad8df84bba98a8ef1ea13a145ed1b7c7a5b7f89bcfe6eac2b,0xe67B18B27db897Ff71994A6Ad3890626620e580A,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,2.0,7433.257263
